id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
G001,Load Gantt,Uploaded node + link date-range baseline,P0,Covered,file-type,Smoke,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-node-link-uploaded.cy.ts,"Load uploaded node and distance-link files, launch the network, switch to Gantt Chart, and create a date-range entry from the symptom-window fields.",30 rendered Gantt bars; 30 y-axis rows; settings table shows the selected start and end fields; backing Gantt timelines cover the loaded nodes with complete symptom dates.,,This is the maintained uploaded node + link Gantt smoke baseline after sparse symptom rows are filtered instead of being backfilled into artificial ranges.,2026-04-03
G002,Load Gantt,Uploaded sequence-node date-range entry,P0,Covered,file-type,Behavior,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/gantt-sequence-node-uploaded.cy.ts,"Load an uploaded sequence node list, launch the network, switch to Gantt Chart, and create a date-range entry from `ipstart` to `ipend`.",14 rendered Gantt bars; at least one bar width is greater than the single-date fallback; settings table shows `ipstart` and `ipend` for the maintained entry.,,This is the best maintained sequence-node path because the fixture already carries both range and single-date fields.,2026-04-03
G003,Load Gantt,Uploaded sequence-node single-date entry,P1,Covered,file-type,Behavior,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/gantt-sequence-node-uploaded.cy.ts,"Load an uploaded sequence node list, switch to Gantt Chart, and create a single-date entry from `Diagnosis date` with no separate end field.",14 rendered Gantt bars; every bar uses the 15px fixed-width fallback; settings table shows `Diagnosis date` as both start and end after auto-fill.,,Covered in the maintained sequence-node Gantt flow as the stable single-date file-type path; the more targeted multi-entry lifecycle now lives in its own journey.,2026-04-03
G004,Export,Uploaded Gantt SVG export,P1,Covered,file-type,Behavior,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-export-uploaded.cy.ts,"Create an uploaded-data Gantt entry, export the view as SVG, and verify the saved artifact is non-empty and contains the rendered entry label.",Downloaded SVG contains `<svg`; the artifact is non-empty; the exported text contains `Symptom Window`; the export dialog auto-closes after save.,,Covered in the maintained uploaded-data Gantt export journey after the export pane was wired to close automatically on successful save.,2026-04-04
G005,Gantt Settings,Multi-entry management on uploaded data,P1,Covered,file-type,Behavior,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/gantt-multi-entry-uploaded.cy.ts,"Create a second Gantt entry on uploaded data, reopen Gantt Settings, and verify stacked entries can be reviewed and removed while the remaining entry stays intact.","Both entries remain visible in the settings table and legend; removing one entry leaves the other intact; the rendered SVG bar count drops back to one entry per node for the surviving entry.",,Covered in the maintained multi-entry journey after Gantt's empty-state initialization stopped tripping the runtime-error banner on later settings reopens.,2026-04-04
G006,Load Gantt,Direct launch from File Settings,P2,Covered,file-type,Smoke,node + link; node with sequences,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/gantt-direct-launch-uploaded.cy.ts,"Set File Settings → View to Launch = `Gantt Chart`, launch uploaded data, and land directly in the Gantt view.",`Gantt Chart` is selectable in File Settings; launch completes into Gantt without requiring a post-launch view switch; the direct-launch view remains interactive enough to create a maintained entry on both uploaded file types.,,Covered in the maintained direct-launch Gantt smoke for uploaded node+link and sequence-node paths.,2026-04-03
G007,Gantt Settings,Existing-entry color update,P1,Covered,feature-behavior,Behavior,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-controls-uploaded.cy.ts,"Create one uploaded Gantt entry, change its color from the settings table, and verify the rendered bars and legend swatch update.",Rendered `.gantt-entry` fill changes to the selected color; the legend swatch uses the same color; `ganttEntries[0].color` and `ganttChartData[0].color` stay in sync.,,Covered in the maintained controls journey after the settings-table row color was re-synchronized with the rendered chart state.,2026-04-03
G008,Gantt Settings,Existing-entry opacity update,P1,Covered,feature-behavior,Behavior,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-controls-uploaded.cy.ts,"Create one uploaded Gantt entry, change its opacity from the settings-table transparency control, and verify the rendered bars and legend swatch update.",Rendered `.gantt-entry` opacity changes; legend swatch opacity changes; `ganttEntries[0].opacity` and `ganttChartData[0].opacity` stay in sync.,,Covered in the maintained controls journey after the empty-state runtime banner regression was fixed in product code.,2026-04-04
G009,Visual Settings,Grid show hide toggle,P1,Covered,feature-behavior,Behavior,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-controls-uploaded.cy.ts,Toggle Visual Settings → Grid between Show and Hide on uploaded data.,The chart background rect fill switches between the grid pattern URL and `none`; bars remain rendered; no Gantt entry state is lost.,,Covered in the maintained controls journey after the empty-state runtime banner regression was fixed in product code.,2026-04-04
G010,Visual Settings,Spacing Y updates row layout,P2,Covered,feature-behavior,Behavior,node + link,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/gantt-controls-uploaded.cy.ts,Change Visual Settings → Spacing (Y) and verify the rendered row positions and chart height update.,`ganttChartElement.gridWidthY` updates; `.y-axis-text` y-positions move; bar heights or vertical spacing change while row count stays constant.,,Covered in the maintained controls journey after the empty-state runtime banner regression was fixed in product code.,2026-04-04
