id,area,subarea,priority,status,category,scope,file_types,fixtures,current_spec,description,primary_assertions,fixture_gap,notes,last_reviewed
P001,Load Tree,Distance edgelist launch then switch to tree,P0,Covered,file-type,Smoke,distance edgelist,COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/upload-launch-phylo.cy.ts,"Load an uploaded SNP distance edgelist, launch the network, switch to Phylogenetic Tree, and confirm the tree renders.",Global stats match the known uploaded counts; rendered leaf-circle count is 30; stored and rendered Newick strings are non-empty after switching to the tree view.,,This is the maintained distance-edgelist tree smoke baseline.,2026-04-03
P002,Load Tree,Distance matrix launch then switch to tree,P0,Covered,file-type,Smoke,matrix,AngularTesting_DistanceMatrix_TN93_BS.xlsx,cypress/e2e/journeys/flows/upload-launch-phylo.cy.ts,"Load an uploaded distance matrix, launch the network, switch to Phylogenetic Tree, and confirm the tree renders.",Global stats match the known uploaded counts; rendered leaf-circle count is 14; stored and rendered Newick strings are non-empty after switching to the tree view.,,This keeps the matrix-to-tree path under maintained coverage rather than only the 2D suite.,2026-04-03
P003,Load Tree,FASTA launch then switch to tree,P0,Covered,file-type,Smoke,fasta,SARSCoV2_Simulated_Sequences_snp.fas,cypress/e2e/journeys/flows/upload-launch-phylo.cy.ts,"Load an uploaded FASTA file, launch the network, switch to Phylogenetic Tree, and confirm the tree renders.",Global stats match the known uploaded counts; rendered leaf-circle count is 30; stored and rendered Newick strings are non-empty after switching to the tree view.,,This covers the derived-tree path from sequence-only input.,2026-04-03
P004,Load Tree,Sequence node list launch then switch to tree,P0,Covered,file-type,Smoke,node with sequences,AngularTesting_nodelist_withseqs_TN93_BS.csv,cypress/e2e/journeys/flows/upload-launch-phylo.cy.ts,"Load an uploaded sequence node list, launch the network, switch to Phylogenetic Tree, and confirm the tree renders.",Global stats match the known uploaded counts; rendered leaf-circle count is 14; stored and rendered Newick strings are non-empty after switching to the tree view.,,This covers the uploaded node-list path that derives the tree from embedded sequences.,2026-04-03
P005,Load Tree,Newick launch or switch to tree,P0,Covered,file-type,Smoke,newick,AngularTesting_seqs_TN93_BS.nwk; SARSCoV2_Simulated_Sequences_NJ_tree_snp.nwk,cypress/e2e/journeys/flows/upload-launch-phylo.cy.ts; cypress/e2e/journeys/flows/phylogenetic-view-export.cy.ts,Load uploaded Newick data and reach an interactive Phylogenetic Tree.,The tree SVG renders; leaf counts match loaded data where deterministic counts exist; export/settings flows stay interactive on the uploaded Newick path.,,"The maintained smoke uses the AngularTesting Newick profile via launch-then-switch, while the export/settings journey continues to exercise the larger SARS fixture on the direct tree path.",2026-04-03
P006,Export,PNG export,P1,Covered,file-type,Behavior,uploaded Newick tree,SARSCoV2_Simulated_Sequences_NJ_tree_snp.nwk,cypress/e2e/journeys/flows/phylogenetic-view-export.cy.ts,Export the uploaded tree as a PNG image.,A uniquely named PNG file is written to cypress/downloads and has non-trivial byte length.,,This avoids stale-download false positives by using unique filenames per run.,2026-04-03
P007,Export,SVG export,P1,Covered,file-type,Behavior,uploaded Newick tree,SARSCoV2_Simulated_Sequences_NJ_tree_snp.nwk,cypress/e2e/journeys/flows/phylogenetic-view-export.cy.ts,Export the uploaded tree as an SVG image.,A uniquely named SVG file is written to cypress/downloads and contains an <svg root element.,,This keeps tree-image export under maintained uploaded-data coverage.,2026-04-03
P008,Export,Newick text export,P1,Covered,syntax,Behavior,uploaded Newick tree,SARSCoV2_Simulated_Sequences_NJ_tree_snp.nwk,cypress/e2e/journeys/flows/phylogenetic-view-export.cy.ts,Export the uploaded tree as Newick text.,The saved text matches the currently rendered tree's canonical toNewick(false) output after normalizing line endings.,,"The earlier assertion compared against the original session string, which was a brittle test assumption rather than product behavior.",2026-04-03
P009,Tree Settings,Layout mode type and leaf-label visibility on uploaded data,P1,Covered,file-type,Behavior,uploaded Newick tree,SARSCoV2_Simulated_Sequences_NJ_tree_snp.nwk,cypress/e2e/journeys/flows/phylogenetic-view-export.cy.ts,Open tree settings on uploaded data and verify key tree controls affect the rendered SVG and backing view state.,"Layout, mode, and type widget state updates; leaf-label visibility toggles both the model flag and rendered label visibility.",,This gives the tree maintained journey at least one uploaded-data settings path instead of keeping all settings coverage sample-data-only.,2026-04-03
P010,Global Settings,Global node color change,P2,Covered,feature-behavior,Behavior,uploaded node+distance dataset,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv,cypress/e2e/journeys/flows/phylogenetic-metadata-uploaded.cy.ts,Change the global fixed node color while Phylogenetic Tree is active on uploaded metadata-backed tree data.,Rendered leaf-node circle fills update to the selected fixed color on the tree generated from uploaded node and distance files.,,Covered on the maintained metadata-backed tree journey.,2026-04-03
